band,time_slot,activity
8,0,1
9,0,1
13,0,1
17,0,1
9,1,1
2,2,1
13,2,1
17,2,1
18,2,1
21,2,1
31,2,1
48,2,1
2,3,1
5,3,1
9,3,1
13,3,1
18,3,1
24,3,1
31,3,1
43,3,1
2,4,1
13,4,1
16,4,1
17,4,1
33,4,1
5,5,1
17,5,1
22,5,1
30,5,1
2,6,1
18,6,1
2,7,1
17,7,1
33,7,1
35,7,1
9,8,1
18,8,1
2,9,1
17,9,1
31,9,1
40,9,1
18,10,1
31,10,1
1,11,1
9,11,1
17,11,1
31,11,1
52,11,1
2,12,1
18,12,1
24,12,1
33,12,1
48,12,1
7,13,1
2,14,1
9,14,1
31,14,1
52,14,1
2,15,1
18,15,1
22,15,1
2,16,1
18,16,1
33,16,1
42,16,1
5,17,1
9,17,1
13,17,1
18,17,1
31,17,1
33,17,1
56,17,1
2,18,1
13,18,1
18,18,1
33,18,1
6,19,1
9,19,1
18,19,1
20,19,1
5,20,1
9,20,1
17,20,1
25,20,1
37,20,1
4,21,1
13,21,1
17,21,1
20,21,1
22,21,1
25,21,1
37,21,1
10,22,1
13,22,1
22,22,1
25,22,1
37,22,1
4,23,1
9,23,1
22,23,1
37,23,1
59,23,1
2,24,1
37,24,1
2,25,1
4,25,1
4,26,1
13,26,1
17,26,1
2,27,1
4,27,1
17,27,1
9,28,1
17,28,1
2,29,1
4,29,1
9,29,1
17,29,1
37,29,1
13,30,1
27,30,1
37,30,1
45,30,1
2,31,1
4,31,1
5,31,1
9,31,1
12,31,1
13,31,1
17,31,1
25,31,1
37,31,1
0,32,1
5,32,1
6,32,1
17,32,1
22,32,1
31,32,1
37,32,1
2,33,1
4,33,1
9,33,1
22,33,1
25,33,1
37,33,1
2,34,1
17,34,1
25,34,1
31,34,1
37,34,1
2,35,1
4,35,1
9,35,1
37,35,1
4,36,1
2,37,1
9,37,1
17,37,1
37,37,1
2,38,1
4,38,1
25,38,1
42,38,1
56,38,1
22,39,1
23,39,1
2,40,1
5,40,1
9,40,1
13,40,1
22,40,1
57,40,1
9,41,1
22,41,1
2,42,1
11,42,1
17,43,1
27,43,1
2,44,1
9,44,1
12,44,1
17,44,1
11,45,1
17,45,1
9,46,1
10,46,1
11,46,1
36,46,1
7,47,1
9,47,1
11,47,1
13,47,1
22,47,1
30,47,1
2,48,1
9,48,1
11,48,1
13,48,1
16,48,1
31,48,1
2,49,1
17,49,1
31,49,1
2,50,1
5,50,1
9,50,1
22,50,1
31,50,1
22,51,1
2,52,1
9,52,1
13,52,1
17,52,1
9,53,1
11,53,1
0,54,1
2,54,1
9,54,1
11,54,1
31,54,1
48,54,1
2,55,1
17,55,1
18,55,1
1,56,1
5,56,1
6,56,1
11,56,1
37,56,1
9,57,1
11,57,1
13,57,1
31,57,1
17,58,1
19,58,1
31,58,1
2,59,1
9,59,1
11,59,1
15,59,1
17,59,1
25,59,1
9,60,1
15,60,1
17,60,1
18,60,1
22,60,1
33,60,1
39,60,1
57,60,1
2,61,1
7,61,1
9,61,1
33,61,1
17,62,1
31,62,1
33,62,1
2,63,1
5,63,1
7,63,1
17,63,1
33,63,1
42,63,1
26,64,1
47,64,1
2,65,1
9,65,1
13,65,1
33,65,1
39,65,1
2,66,1
18,66,1
17,67,1
18,67,1
9,68,1
17,68,1
27,68,1
33,68,1
9,69,1
17,69,1
33,69,1
7,70,1
14,70,1
18,70,1
33,70,1
47,70,1
1,71,1
7,71,1
9,71,1
17,71,1
45,71,1
9,72,1
13,72,1
18,72,1
27,72,1
31,72,1
33,72,1
39,72,1
55,72,1
9,73,1
18,73,1
22,73,1
33,73,1
4,74,1
13,74,1
14,74,1
18,74,1
27,74,1
33,74,1
1,75,1
2,75,1
7,75,1
9,75,1
17,75,1
33,75,1
18,76,1
33,76,1
46,76,1
9,77,1
17,77,1
18,77,1
22,77,1
2,78,1
6,78,1
9,78,1
17,78,1
18,78,1
29,79,1
43,79,1
4,80,1
10,80,1
17,80,1
37,80,1
2,81,1
9,81,1
17,81,1
22,81,1
37,81,1
43,81,1
4,82,1
17,82,1
31,82,1
35,82,1
37,82,1
17,83,1
25,83,1
37,83,1
2,84,1
4,84,1
9,84,1
10,84,1
25,84,1
37,84,1
