band,time_slot,activity
0,0,0
1,0,0
2,0,1
3,0,0
4,0,1
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,1
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,1
24,0,1
25,0,0
26,0,0
27,0,0
28,0,1
29,0,0
0,1,0
1,1,0
2,1,1
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,1
17,1,0
18,1,1
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,0
25,1,1
26,1,0
27,1,0
28,1,0
29,1,0
0,2,0
1,2,0
2,2,1
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,1
16,2,1
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,1
24,2,0
25,2,1
26,2,0
27,2,0
28,2,0
29,2,0
0,3,0
1,3,0
2,3,1
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,1
16,3,1
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,1
24,3,0
25,3,1
26,3,0
27,3,0
28,3,0
29,3,0
0,4,0
1,4,0
2,4,1
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,1
16,4,1
17,4,0
18,4,1
19,4,0
20,4,0
21,4,0
22,4,0
23,4,1
24,4,0
25,4,1
26,4,0
27,4,0
28,4,0
29,4,0
0,5,0
1,5,0
2,5,1
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
10,5,0
11,5,1
12,5,0
13,5,0
14,5,0
15,5,1
16,5,1
17,5,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,1
24,5,0
25,5,1
26,5,0
27,5,0
28,5,0
29,5,0
0,6,0
1,6,0
2,6,1
3,6,0
4,6,0
5,6,0
6,6,0
7,6,1
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,1
16,6,1
17,6,1
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,1
24,6,0
25,6,1
26,6,0
27,6,0
28,6,0
29,6,0
0,7,0
1,7,1
2,7,0
3,7,1
4,7,0
5,7,0
6,7,0
7,7,1
8,7,0
9,7,0
10,7,0
11,7,1
12,7,0
13,7,0
14,7,0
15,7,1
16,7,0
17,7,1
18,7,0
19,7,0
20,7,0
21,7,0
22,7,0
23,7,1
24,7,0
25,7,1
26,7,1
27,7,0
28,7,1
29,7,0
0,8,0
1,8,1
2,8,1
3,8,1
4,8,0
5,8,0
6,8,0
7,8,1
8,8,0
9,8,0
10,8,0
11,8,1
12,8,1
13,8,0
14,8,0
15,8,0
16,8,1
17,8,1
18,8,0
19,8,0
20,8,0
21,8,0
22,8,0
23,8,1
24,8,1
25,8,1
26,8,0
27,8,0
28,8,0
29,8,0
0,9,0
1,9,0
2,9,1
3,9,1
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,0
11,9,0
12,9,0
13,9,0
14,9,0
15,9,1
16,9,1
17,9,0
18,9,1
19,9,0
20,9,0
21,9,0
22,9,1
23,9,1
24,9,0
25,9,0
26,9,0
27,9,0
28,9,0
29,9,0
0,10,0
1,10,0
2,10,0
3,10,1
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
14,10,0
15,10,1
16,10,1
17,10,0
18,10,0
19,10,0
20,10,0
21,10,0
22,10,0
23,10,1
24,10,0
25,10,0
26,10,0
27,10,0
28,10,0
29,10,0
0,11,0
1,11,0
2,11,1
3,11,1
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
12,11,0
13,11,0
14,11,0
15,11,1
16,11,1
17,11,1
18,11,0
19,11,0
20,11,0
21,11,0
22,11,1
23,11,1
24,11,0
25,11,0
26,11,0
27,11,0
28,11,0
29,11,0
0,12,0
1,12,0
2,12,0
3,12,1
4,12,0
5,12,0
6,12,0
7,12,1
8,12,0
9,12,1
10,12,0
11,12,0
12,12,0
13,12,0
14,12,0
15,12,1
16,12,1
17,12,0
18,12,0
19,12,0
20,12,0
21,12,0
22,12,0
23,12,1
24,12,0
25,12,1
26,12,0
27,12,0
28,12,0
29,12,0
0,13,0
1,13,0
2,13,0
3,13,1
4,13,0
5,13,0
6,13,0
7,13,1
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
13,13,0
14,13,0
15,13,1
16,13,1
17,13,1
18,13,1
19,13,0
20,13,0
21,13,0
22,13,1
23,13,1
24,13,0
25,13,1
26,13,0
27,13,0
28,13,0
29,13,0
0,14,0
1,14,0
2,14,1
3,14,1
4,14,0
5,14,0
6,14,0
7,14,0
8,14,1
9,14,1
10,14,0
11,14,1
12,14,0
13,14,0
14,14,0
15,14,1
16,14,1
17,14,1
18,14,0
19,14,0
20,14,0
21,14,0
22,14,1
23,14,1
24,14,0
25,14,1
26,14,0
27,14,0
28,14,0
29,14,0
0,15,0
1,15,0
2,15,1
3,15,1
4,15,0
5,15,0
6,15,0
7,15,0
8,15,1
9,15,0
10,15,0
11,15,1
12,15,0
13,15,0
14,15,0
15,15,1
16,15,0
17,15,1
18,15,0
19,15,0
20,15,0
21,15,0
22,15,1
23,15,1
24,15,0
25,15,0
26,15,0
27,15,0
28,15,0
29,15,0
0,16,0
1,16,0
2,16,0
3,16,1
4,16,0
5,16,0
6,16,0
7,16,0
8,16,1
9,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,1
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
22,16,1
23,16,1
24,16,0
25,16,1
26,16,1
27,16,0
28,16,0
29,16,0
0,17,0
1,17,0
2,17,0
3,17,1
4,17,0
5,17,0
6,17,0
7,17,1
8,17,1
9,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,1
16,17,1
17,17,0
18,17,0
19,17,0
20,17,0
21,17,0
22,17,1
23,17,1
24,17,0
25,17,0
26,17,0
27,17,0
28,17,0
29,17,0
0,18,0
1,18,0
2,18,0
3,18,1
4,18,0
5,18,0
6,18,0
7,18,1
8,18,1
9,18,0
10,18,0
11,18,0
12,18,0
13,18,0
14,18,1
15,18,1
16,18,1
17,18,0
18,18,0
19,18,0
20,18,0
21,18,0
22,18,1
23,18,1
24,18,0
25,18,1
26,18,0
27,18,0
28,18,0
29,18,0
0,19,0
